"participant_id","age","gender","ethnicity","transfer","international","us_born","parent_ed_1","parent_ed_2","major_sem_1","major_sem_2","major_sem_3","major_sem_4","gpa_sem_1","gpa_sem_2","gpa_sem_3","gpa_sem_4"
1,18,"Male","White",1,0,1,"Master's degree","Bachelor's degree (4 year degree)","Biology","Biology","Biology","Biology",2.68,2.09,NA,NA
2,18,"Male","White",0,0,1,"Associates degree or equivalent (2 year degree)","Bachelor's degree (4 year degree)","Mechanical Engineering","Mechanical Engineering","Chemical Engineering","Chemical Engineering",3.64,3.84,2.08,2.14
3,18,"Male","Hispanic/Latine",0,0,1,"High school diploma","Associates degree or equivalent (2 year degree)","Biomedical Engineering","Biomedical Engineering","Chemical Engineering","Chemical Engineering",3.62,3.62,3.76,3.72
4,19,"Male","White",1,0,1,"Bachelor's degree (4 year degree)","High school diploma",NA,"Biomedical Engineering","Biomedical Engineering","Biomedical Engineering",2.81,2.07,2.7,3.36
5,19,"Male","Black/African American",1,0,1,"Associates degree or equivalent (2 year degree)","High school diploma","Computer Science","Biomedical Engineering","Biomedical Engineering","Biomedical Engineering",2.64,3.38,3.96,NA
6,19,"Male","White",0,0,1,"High school diploma","Bachelor's degree (4 year degree)","Biology","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",2.03,3.46,3.37,2.89
7,18,"Male","White",0,0,1,"High school diploma","Associates degree or equivalent (2 year degree)","Computer Science","Biology","Biology","Biology",2.8,3.82,2.05,3.55
8,18,"Female","White",1,0,1,"Associates degree or equivalent (2 year degree)","Associates degree or equivalent (2 year degree)","Biomedical Engineering","Biomedical Engineering","Biomedical Engineering","Biomedical Engineering",3.15,3.32,3.85,3.22
9,19,"Nonbinary","White",1,0,1,"No school","High school diploma","Computer Science","Computer Science","Chemical Engineering",NA,2.08,2.47,3.79,3.92
10,20,"Male","White",0,0,1,"Bachelor's degree (4 year degree)","Associates degree or equivalent (2 year degree)","Biology","Computer Science",NA,"Computer Science",3.6,3.73,NA,3.74
11,20,"Female","White",1,0,1,"Master's degree","Master's degree","Computer Science",NA,"Computer Science","Computer Science",3.02,3.2,3.65,2.37
12,22,"Female","Asian/Pacific Islander",1,0,1,"Some high school","Elementary school","Biology","Biology","Chemical Engineering","Chemical Engineering",2.55,2.49,NA,NA
13,19,"Female","White",1,0,1,"Master's degree","High school diploma","Biomedical Engineering","Computer Science","Computer Science","Computer Science",3.63,2.72,2.34,2.73
14,18,"Female","White",0,0,1,"High school diploma","Associates degree or equivalent (2 year degree)","Biomedical Engineering","Computer Science","Computer Science","Computer Science",3.18,3.44,2.18,3.21
15,19,"Female","White",1,1,1,"High school diploma","Associates degree or equivalent (2 year degree)","Computer Science","Biology","Biology","Biology",2.73,3.17,2.75,NA
16,19,"Male","White",0,0,1,"Bachelor's degree (4 year degree)","Bachelor's degree (4 year degree)","Mechanical Engineering","Mechanical Engineering",NA,NA,3.13,2.98,3.32,2.89
17,19,"Male","White",0,0,1,"Bachelor's degree (4 year degree)","High school diploma","Biology",NA,"Biology","Biology",2.46,3.75,3.7,2.73
18,20,"Female","Asian/Pacific Islander",0,1,1,"High school diploma","High school diploma","Biomedical Engineering","Biomedical Engineering","Biomedical Engineering","Biomedical Engineering",2.71,3.98,3.44,2.69
19,19,"Male","White",1,0,1,"Middle school/Junior high","High school diploma","Mechanical Engineering","Biology","Biology","Biology",3.55,3.09,2.97,2.77
20,18,"Male","White",0,0,0,"High school diploma","Bachelor's degree (4 year degree)","Chemical Engineering","Biomedical Engineering","Biomedical Engineering","Biomedical Engineering",3.32,3.1,3.53,3.12
21,19,"Male","Asian/Pacific Islander",0,0,1,"High school diploma","Associates degree or equivalent (2 year degree)","Computer Science","Computer Science","Computer Science",NA,2.96,2.63,2.86,2.24
22,18,"Male","White",0,0,1,"High school diploma","Bachelor's degree (4 year degree)","Biomedical Engineering","Biomedical Engineering","Biomedical Engineering",NA,3.11,3.27,2.14,3.13
23,18,"Male","Multiracial",0,0,1,"Associates degree or equivalent (2 year degree)","Bachelor's degree (4 year degree)","Biomedical Engineering","Biomedical Engineering","Biomedical Engineering","Chemical Engineering",2.57,3.11,3.6,2.48
24,22,"Female","White",0,0,1,"Associates degree or equivalent (2 year degree)","High school diploma","Computer Science","Computer Science","Computer Science","Computer Science",2.06,2.78,2.83,2.23
25,18,"Male","Hispanic/Latine",0,0,1,"Bachelor's degree (4 year degree)","Master's degree","Biology","Biology","Biology","Biology",2.68,3.99,3.25,3.21
26,18,"Male","Hispanic/Latine",1,0,1,"Associates degree or equivalent (2 year degree)","Bachelor's degree (4 year degree)","Biology","Mechanical Engineering","Mechanical Engineering",NA,3.42,NA,NA,2.44
27,18,"Male","White",0,1,1,"Master's degree","Associates degree or equivalent (2 year degree)","Biomedical Engineering","Biomedical Engineering","Biomedical Engineering",NA,3.02,2.6,2.91,3.64
28,21,"Male","White",0,0,1,"High school diploma","Associates degree or equivalent (2 year degree)","Biology","Biology","Biology","Biology",2.41,3.18,2.64,3.77
29,19,"Female","Asian/Pacific Islander",1,0,1,"Bachelor's degree (4 year degree)","Some high school","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",2.5,3.68,3.63,3.29
30,19,"Male","Black/African American",0,0,1,"High school diploma","Associates degree or equivalent (2 year degree)","Biology","Chemical Engineering","Computer Science","Computer Science",3.44,3.47,2.53,2.55
31,18,"Male","White",0,0,1,"Bachelor's degree (4 year degree)","Doctorate or professional degree","Chemical Engineering","Biology","Biology","Biology",2.04,3.27,2.87,2.8
32,18,"Male","Multiracial",0,0,1,"High school diploma","Bachelor's degree (4 year degree)","Computer Science","Computer Science","Computer Science","Computer Science",3.94,2.9,2.72,3.33
33,18,"Male","White",1,0,1,"High school diploma","Master's degree","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",2.19,3.65,3.63,3.18
34,18,"Female","Other",0,0,1,"High school diploma","High school diploma",NA,"Computer Science",NA,"Mechanical Engineering",3.51,3.42,3.3,2.1
35,18,"Male","White",0,0,1,"High school diploma","Associates degree or equivalent (2 year degree)","Biomedical Engineering",NA,"Chemical Engineering","Chemical Engineering",3.39,3.64,3.82,2.53
36,18,"Male","White",0,1,1,"No school","Some high school","Biology","Biology","Biology","Chemical Engineering",3.82,2.19,3.74,NA
37,18,"Male","White",0,0,0,"High school diploma","High school diploma","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",2.83,2.44,2.14,2.21
38,20,"Female","White",0,0,1,"Bachelor's degree (4 year degree)","Bachelor's degree (4 year degree)","Computer Science","Computer Science",NA,"Computer Science",2.03,2.18,3.5,2.82
39,20,"Female","White",1,0,1,"High school diploma","Bachelor's degree (4 year degree)","Computer Science","Computer Science","Computer Science","Computer Science",2.59,3.69,3.34,2.95
40,18,"Male","White",0,0,1,"Associates degree or equivalent (2 year degree)","Associates degree or equivalent (2 year degree)","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",2.84,3.49,3.92,NA
41,18,"Female","White",1,0,1,"High school diploma","Master's degree","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",3.65,2.43,2.7,3.72
42,18,"Female","White",0,0,1,"Bachelor's degree (4 year degree)","Associates degree or equivalent (2 year degree)","Biomedical Engineering","Biomedical Engineering","Biomedical Engineering",NA,2.5,2.77,2.55,3.7
43,21,"Female","Asian/Pacific Islander",1,0,1,"High school diploma","Associates degree or equivalent (2 year degree)","Biology","Biology","Biology","Biology",3.96,3.77,2.28,NA
44,18,"Male","Other",0,0,1,"Bachelor's degree (4 year degree)","High school diploma","Computer Science","Computer Science","Biology","Biology",3.32,3.86,2.89,2.46
45,19,"Female","Asian/Pacific Islander",0,0,0,"High school diploma","Associates degree or equivalent (2 year degree)","Biomedical Engineering","Computer Science",NA,"Computer Science",3.02,NA,NA,3.81
46,18,"Male","White",0,0,1,"High school diploma","Master's degree","Computer Science","Computer Science","Computer Science","Computer Science",3.41,2.26,NA,3.22
47,18,"Female","White",1,0,1,"Associates degree or equivalent (2 year degree)","Associates degree or equivalent (2 year degree)","Mechanical Engineering","Mechanical Engineering",NA,"Biomedical Engineering",NA,2.51,3.67,2.43
48,20,"Male","Asian/Pacific Islander",1,0,1,"High school diploma","Bachelor's degree (4 year degree)","Biology",NA,"Computer Science",NA,3.55,2.98,3.18,3.95
49,18,"Female","Black/African American",0,0,1,"High school diploma","Bachelor's degree (4 year degree)","Computer Science","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",3.56,3.59,2.68,2.07
50,22,"Male","White",0,0,1,"Bachelor's degree (4 year degree)","Middle school/Junior high","Computer Science","Biomedical Engineering","Biomedical Engineering","Biomedical Engineering",2.51,2.12,NA,2.36
51,20,"Female","Asian/Pacific Islander",1,0,1,"High school diploma","Elementary school","Mechanical Engineering",NA,"Mechanical Engineering","Mechanical Engineering",2,NA,3.7,3.21
52,21,"Female","White",0,0,1,"Bachelor's degree (4 year degree)","Associates degree or equivalent (2 year degree)","Biology","Computer Science","Computer Science","Computer Science",2.85,3.79,NA,3.82
53,18,"Female","White",1,0,1,"Associates degree or equivalent (2 year degree)","High school diploma","Biology","Biology","Biology","Computer Science",3.88,3.35,3.28,3.47
54,18,"Female","White",0,0,1,"Bachelor's degree (4 year degree)","High school diploma","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",3.03,3.81,3.29,2.53
55,18,"Female","White",1,0,1,"High school diploma","Associates degree or equivalent (2 year degree)","Mechanical Engineering","Computer Science","Computer Science","Computer Science",NA,3.52,NA,2.85
56,20,"Male","Hispanic/Latine",1,0,1,"Bachelor's degree (4 year degree)","Master's degree","Computer Science","Biomedical Engineering","Biology","Biology",3.51,2.66,3.01,3.72
57,19,"Female","White",1,0,1,"Associates degree or equivalent (2 year degree)","Bachelor's degree (4 year degree)","Mechanical Engineering","Computer Science","Computer Science","Computer Science",2.69,2.37,3.58,3.1
58,19,"Female","White",0,0,1,"Bachelor's degree (4 year degree)","High school diploma","Biology","Chemical Engineering",NA,NA,3.34,3.31,NA,NA
59,18,"Male","White",1,0,1,"Master's degree","Bachelor's degree (4 year degree)","Computer Science","Computer Science","Computer Science","Computer Science",3.2,3.47,2.38,3.21
60,18,"Male","Black/African American",1,0,1,"High school diploma","Bachelor's degree (4 year degree)","Computer Science","Computer Science","Computer Science","Computer Science",2.84,3.82,3.8,2.63
61,18,"Female","White",0,0,1,"High school diploma","High school diploma","Biology","Biology","Chemical Engineering","Chemical Engineering",3.56,2.47,2.35,3.3
62,18,"Female","White",0,0,1,"Master's degree","Bachelor's degree (4 year degree)","Biomedical Engineering","Biomedical Engineering","Biomedical Engineering","Chemical Engineering",3.77,3.64,2.74,2.01
63,18,"Male","White",1,0,1,"High school diploma","High school diploma","Biology","Biology","Biology","Biology",3.85,2.23,3.55,3.03
64,18,"Male","White",0,0,0,"Associates degree or equivalent (2 year degree)","Bachelor's degree (4 year degree)","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",3.17,2.36,3.35,3.12
65,19,"Male","White",1,0,1,"Associates degree or equivalent (2 year degree)","Bachelor's degree (4 year degree)","Computer Science","Biomedical Engineering","Biomedical Engineering","Biomedical Engineering",NA,3.52,3.35,NA
66,19,"Female","Black/African American",0,0,1,"Bachelor's degree (4 year degree)","High school diploma","Computer Science","Biology","Biology",NA,3.24,2.46,2.39,NA
67,18,"Male","Asian/Pacific Islander",1,0,1,"Bachelor's degree (4 year degree)","Associates degree or equivalent (2 year degree)","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",3.05,2.88,3.89,NA
68,19,"Male","White",0,0,1,"Master's degree","Associates degree or equivalent (2 year degree)","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",2.61,2.16,3.33,3.71
69,21,"Female","White",0,0,1,"High school diploma","Associates degree or equivalent (2 year degree)","Biology","Biology","Biology","Biology",2.57,2.81,2.51,2.95
70,18,"Male","Black/African American",0,1,1,"Doctorate or professional degree","Bachelor's degree (4 year degree)","Chemical Engineering","Biomedical Engineering","Biomedical Engineering","Biomedical Engineering",2.45,2.46,NA,2.73
71,19,"Male","Asian/Pacific Islander",1,0,1,"Master's degree","High school diploma",NA,"Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",2.24,3.34,3.44,NA
72,19,"Male","White",0,0,1,"Master's degree","Master's degree","Biology","Computer Science","Computer Science","Computer Science",3.48,3.52,2.43,3.71
73,18,"Male","White",0,0,0,"High school diploma","High school diploma","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",3.74,2.35,NA,3.39
74,19,"Male","White",1,0,1,"Associates degree or equivalent (2 year degree)","Bachelor's degree (4 year degree)","Biomedical Engineering","Chemical Engineering","Chemical Engineering","Chemical Engineering",3.57,2.49,NA,3.25
75,18,"Male","White",0,0,1,"Middle school/Junior high","High school diploma","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",2.1,NA,2.57,NA
76,18,"Male","White",0,1,1,"Bachelor's degree (4 year degree)","Associates degree or equivalent (2 year degree)","Computer Science","Computer Science","Computer Science","Computer Science",3.61,NA,3.56,3.62
77,18,"Male","White",0,0,1,"Doctorate or professional degree","Associates degree or equivalent (2 year degree)","Computer Science","Chemical Engineering","Chemical Engineering","Chemical Engineering",3.13,2.21,3.98,3.54
78,18,"Male","Asian/Pacific Islander",0,0,1,"Associates degree or equivalent (2 year degree)","Bachelor's degree (4 year degree)","Mechanical Engineering","Computer Science","Mechanical Engineering","Mechanical Engineering",2.95,2.73,NA,2.99
79,19,"Female","Multiracial",0,0,1,"High school diploma","Bachelor's degree (4 year degree)","Computer Science","Mechanical Engineering",NA,"Mechanical Engineering",3.43,3.22,2.67,NA
80,19,"Male","Hispanic/Latine",0,0,1,"Master's degree","Bachelor's degree (4 year degree)","Biology",NA,NA,"Chemical Engineering",3.2,3.11,3.12,3.82
81,21,"Male","Black/African American",1,0,1,"Bachelor's degree (4 year degree)","High school diploma","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",3.26,2.85,3.12,3.93
82,18,"Male","White",0,0,1,"Some high school","Associates degree or equivalent (2 year degree)","Computer Science","Computer Science","Computer Science","Computer Science",2.85,3.46,3.65,3.86
83,18,"Male","Asian/Pacific Islander",0,0,1,"Some high school","Associates degree or equivalent (2 year degree)","Biology","Biology","Biology","Biology",3.1,2.1,2.92,3.16
84,19,"Male","Black/African American",1,0,0,"Master's degree","Master's degree","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",2.23,3.17,2.48,2.93
85,18,"Male","White",1,1,1,"High school diploma","Some high school","Computer Science","Biology","Biology",NA,3.74,4,2.1,2.05
86,18,"Male","White",0,0,1,"Bachelor's degree (4 year degree)","Associates degree or equivalent (2 year degree)","Biology","Computer Science","Computer Science","Computer Science",3.86,3.19,3.87,3.81
87,18,"Male","White",1,0,1,"Associates degree or equivalent (2 year degree)","Bachelor's degree (4 year degree)","Mechanical Engineering","Mechanical Engineering","Computer Science","Computer Science",2.19,2.91,3.58,2.91
88,18,"Female","White",1,0,1,"Associates degree or equivalent (2 year degree)","Associates degree or equivalent (2 year degree)","Computer Science","Mechanical Engineering","Biology","Biology",2.82,2.91,NA,3.14
89,19,"Male","White",1,0,0,"Associates degree or equivalent (2 year degree)","High school diploma","Computer Science","Biomedical Engineering","Biomedical Engineering","Biomedical Engineering",3.98,2.94,2.98,2.59
90,18,"Male","White",0,0,1,"Associates degree or equivalent (2 year degree)","Bachelor's degree (4 year degree)",NA,"Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",2.84,NA,3.01,3.87
91,18,"Male","Black/African American",0,0,1,"Master's degree","Associates degree or equivalent (2 year degree)","Computer Science","Computer Science","Computer Science",NA,2.74,2.59,2.09,NA
92,18,"Female","Other",0,0,1,"High school diploma","Associates degree or equivalent (2 year degree)","Biology","Biology",NA,"Biology",2.8,3.96,2.91,2.58
93,19,"Female","Asian/Pacific Islander",0,0,1,"Doctorate or professional degree","Associates degree or equivalent (2 year degree)","Biology","Biomedical Engineering",NA,"Biomedical Engineering",3.82,3.17,2.43,NA
94,19,"Female","Other",0,0,0,"High school diploma","High school diploma","Mechanical Engineering","Mechanical Engineering","Computer Science","Computer Science",2.31,3.39,3.39,3.71
95,19,"Male","White",0,0,1,"Elementary school","High school diploma","Computer Science","Computer Science","Computer Science","Computer Science",2.88,3.63,2.62,3.5
96,19,"Male","White",1,0,1,"High school diploma","High school diploma","Computer Science","Chemical Engineering","Chemical Engineering","Chemical Engineering",3.92,2.93,NA,2.58
97,20,"Male","White",0,0,1,"Some high school","High school diploma","Computer Science","Computer Science","Computer Science","Computer Science",3.62,NA,2.04,3.66
98,18,"Female","Black/African American",1,0,1,"Bachelor's degree (4 year degree)","Bachelor's degree (4 year degree)","Biomedical Engineering","Biomedical Engineering","Biomedical Engineering","Biomedical Engineering",2.59,2.4,3.19,2.48
99,19,"Female","White",0,0,0,"Associates degree or equivalent (2 year degree)","High school diploma","Chemical Engineering","Computer Science","Computer Science","Computer Science",3.31,3.07,3.84,NA
100,18,"Male","White",0,0,1,"Master's degree","High school diploma","Chemical Engineering",NA,"Chemical Engineering","Chemical Engineering",2.07,NA,2.96,3.36
101,18,"Female","White",0,0,1,"High school diploma","Bachelor's degree (4 year degree)","Biology","Biology","Biology","Biology",3.41,NA,NA,3.19
102,18,"Female","Multiracial",0,0,1,"Bachelor's degree (4 year degree)","High school diploma","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",3.83,3.34,3.02,3.76
103,19,"Female","White",0,0,0,"High school diploma","Bachelor's degree (4 year degree)","Chemical Engineering","Biology","Biology","Biology",3.19,2.25,2.33,NA
104,18,"Female","White",0,0,1,"Doctorate or professional degree","Bachelor's degree (4 year degree)","Computer Science","Computer Science","Computer Science",NA,3.03,3,3.59,2.51
105,20,"Male","White",0,0,1,"Doctorate or professional degree","Master's degree","Computer Science","Computer Science","Computer Science",NA,2.65,3.77,3.46,2.82
106,19,"Nonbinary","Other",0,0,1,"High school diploma","Associates degree or equivalent (2 year degree)","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",3.79,2.64,3.87,3.96
107,19,"Male","Asian/Pacific Islander",0,0,0,"Bachelor's degree (4 year degree)","Master's degree","Biology","Computer Science","Computer Science","Computer Science",2.08,2.65,NA,2.01
108,21,"Male","Asian/Pacific Islander",0,0,1,"Bachelor's degree (4 year degree)","Bachelor's degree (4 year degree)","Computer Science",NA,"Computer Science","Computer Science",3.5,NA,3.54,3.56
109,19,"Female","White",1,0,1,"Associates degree or equivalent (2 year degree)","Elementary school","Biology","Biology","Biology","Biology",2.59,2.06,3.47,2.56
110,18,"Female","Multiracial",0,0,1,"Bachelor's degree (4 year degree)","Doctorate or professional degree","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",3.55,3.94,3.49,2.43
111,19,"Male","Asian/Pacific Islander",0,0,1,"Associates degree or equivalent (2 year degree)","Master's degree","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",3.11,NA,2.15,2.22
112,19,"Female","Black/African American",0,1,1,"Associates degree or equivalent (2 year degree)","High school diploma",NA,"Chemical Engineering","Chemical Engineering",NA,3.51,2.54,3.14,3.05
113,18,"Female","Asian/Pacific Islander",1,1,1,"Associates degree or equivalent (2 year degree)","Associates degree or equivalent (2 year degree)","Biology","Computer Science","Mechanical Engineering",NA,2.15,3.98,3.98,2.33
114,19,"Male","Asian/Pacific Islander",0,0,1,"Bachelor's degree (4 year degree)","Associates degree or equivalent (2 year degree)","Chemical Engineering","Chemical Engineering","Chemical Engineering","Chemical Engineering",NA,2.43,3.87,2.48
115,18,"Male","White",1,0,1,"Associates degree or equivalent (2 year degree)","High school diploma","Computer Science","Computer Science","Computer Science","Computer Science",3.18,3.87,2.65,3.85
116,18,"Female","White",0,0,1,"Associates degree or equivalent (2 year degree)","Associates degree or equivalent (2 year degree)","Biology","Biology","Biology","Biology",2.67,2.21,3.09,3.32
117,22,"Female","Black/African American",0,0,1,"Bachelor's degree (4 year degree)","Some high school","Mechanical Engineering","Chemical Engineering","Chemical Engineering","Chemical Engineering",2.54,3.98,NA,3.46
118,21,"Male","Hispanic/Latine",1,0,1,"High school diploma","Some high school","Computer Science","Computer Science","Computer Science","Computer Science",2.14,2.87,2.16,2.39
119,18,"Male","White",0,0,1,"High school diploma","Associates degree or equivalent (2 year degree)","Chemical Engineering","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",2.89,3.53,3.65,2.82
120,19,"Male","White",1,0,1,"Bachelor's degree (4 year degree)","Bachelor's degree (4 year degree)","Biology","Biology","Biology","Biology",3.12,2.23,3.9,NA
121,18,"Female","White",1,0,1,"Associates degree or equivalent (2 year degree)","Master's degree","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",3.46,2.8,2.21,NA
122,18,"Female","White",1,0,0,"High school diploma","Associates degree or equivalent (2 year degree)","Computer Science","Biology","Biology","Biology",3.31,2.73,3,3.49
123,21,"Female","Other",0,0,1,"Associates degree or equivalent (2 year degree)","Bachelor's degree (4 year degree)","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",2.14,2.93,3.05,2.51
124,18,"Female","Asian/Pacific Islander",0,0,1,"Doctorate or professional degree","Associates degree or equivalent (2 year degree)","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",2.73,3.3,3.54,3.87
125,20,"Male","White",0,0,1,"High school diploma","High school diploma","Chemical Engineering","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",2.03,NA,3.62,NA
126,18,"Male","White",0,0,1,"Master's degree","High school diploma","Biomedical Engineering","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",3.63,3.84,2.57,2.27
127,18,"Female","Asian/Pacific Islander",0,1,1,"High school diploma","High school diploma","Computer Science","Computer Science","Computer Science","Computer Science",2.59,2.19,3.71,3.16
128,21,"Female","Multiracial",0,1,1,"High school diploma","Bachelor's degree (4 year degree)","Computer Science","Computer Science","Computer Science",NA,3.78,3.76,NA,2.75
129,18,"Male","Other",0,1,1,"Master's degree","High school diploma",NA,"Biology","Biology","Biology",2.85,NA,3.98,2.93
130,18,"Female","White",1,0,1,"Bachelor's degree (4 year degree)","Master's degree","Computer Science","Computer Science","Computer Science","Computer Science",3.45,2,2.15,3.94
131,21,"Female","Black/African American",0,0,1,"Master's degree","Master's degree","Biology","Biology","Biology","Biology",3.44,2.39,2.04,2.76
132,19,"Male","White",0,0,1,"Some high school","High school diploma","Biomedical Engineering","Biomedical Engineering","Biomedical Engineering","Biomedical Engineering",3.27,3.78,2.79,3.14
133,22,"Female","White",0,0,1,"Bachelor's degree (4 year degree)","Associates degree or equivalent (2 year degree)","Biology",NA,"Biology","Biology",3.76,2.68,3.31,3.43
134,19,"Nonbinary","Asian/Pacific Islander",0,1,1,"Associates degree or equivalent (2 year degree)","Associates degree or equivalent (2 year degree)",NA,"Biology","Biology","Biology",2.73,2.9,3.73,3.44
135,18,"Female","White",0,0,1,"Some high school","Elementary school","Computer Science","Computer Science",NA,NA,3.09,2.5,3.38,3.79
136,20,"Male","White",1,1,1,"Doctorate or professional degree","Bachelor's degree (4 year degree)","Computer Science","Computer Science","Computer Science",NA,3.33,2.44,3.45,3.7
137,19,"Male","Asian/Pacific Islander",0,0,1,"Bachelor's degree (4 year degree)","Associates degree or equivalent (2 year degree)","Computer Science","Computer Science","Computer Science",NA,2.36,3.02,3.15,2.41
138,20,"Male","Multiracial",0,0,1,"Bachelor's degree (4 year degree)","Master's degree","Computer Science","Computer Science","Computer Science","Computer Science",2.47,2.05,2.33,3.12
139,19,"Female","White",0,0,1,"High school diploma","Master's degree","Biomedical Engineering","Biomedical Engineering","Biology","Biology",2.13,2.53,2.86,NA
140,21,"Male","Hispanic/Latine",0,0,1,"Master's degree","Bachelor's degree (4 year degree)","Computer Science","Computer Science","Computer Science","Computer Science",3.85,3.8,3.5,3.58
141,21,"Female","White",0,0,1,"High school diploma","High school diploma","Computer Science","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",2.11,3.39,2.23,2.7
