"participant_id","age","gender","ethnicity","transfer","international","us_born","parent_ed_1","parent_ed_2","major_sem_1","major_sem_2","major_sem_3","major_sem_4","gpa_sem_1","gpa_sem_2","gpa_sem_3","gpa_sem_4"
284,18,"Female","White",0,0,1,"Associates degree or equivalent (2 year degree)","High school diploma","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",2.06,3.26,2.65,2.1
285,18,"Male","White",0,0,1,"Bachelor's degree (4 year degree)","Bachelor's degree (4 year degree)","Computer Science","Computer Science","Computer Science","Computer Science",2.12,3.34,2.4,3.54
286,19,"Male","Native American",0,0,1,"High school diploma","Bachelor's degree (4 year degree)","Computer Science","Computer Science","Computer Science","Computer Science",2.68,2.69,2.18,3.46
287,18,"Female","Asian/Pacific Islander",0,0,1,"Master's degree","Associates degree or equivalent (2 year degree)","Computer Science","Computer Science","Computer Science",NA,3.79,3.52,2.7,3.28
288,18,"Male","White",0,0,1,"High school diploma","Associates degree or equivalent (2 year degree)","Computer Science","Computer Science","Computer Science","Computer Science",3.74,2.93,2.49,3.76
289,18,"Male","White",0,0,1,"Master's degree","Associates degree or equivalent (2 year degree)","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",3.13,2.98,3.43,2.71
290,19,"Female","White",0,0,1,"Bachelor's degree (4 year degree)","Bachelor's degree (4 year degree)","Mechanical Engineering","Biology",NA,"Biology",2.02,3.58,2.79,2.9
291,21,"Female","Multiracial",0,0,1,"Master's degree","Bachelor's degree (4 year degree)","Chemical Engineering","Chemical Engineering","Chemical Engineering","Computer Science",2.62,2.66,2.3,2.39
292,18,"Female","Asian/Pacific Islander",0,0,1,"High school diploma","Associates degree or equivalent (2 year degree)","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",2.94,2.48,2.3,2.6
293,18,"Female","White",0,0,0,"Some high school","High school diploma","Biology",NA,"Biomedical Engineering","Biomedical Engineering",2.32,3.99,NA,2.02
294,18,"Male","Asian/Pacific Islander",0,0,1,"Bachelor's degree (4 year degree)","Bachelor's degree (4 year degree)","Mechanical Engineering","Mechanical Engineering","Biology","Mechanical Engineering",3.16,3.55,2.69,2.98
295,18,"Female","White",0,0,1,"High school diploma","High school diploma","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",3.08,2.6,3.68,NA
296,18,"Female","White",1,0,1,"High school diploma","Associates degree or equivalent (2 year degree)","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",3.72,2.23,2.3,2.82
297,19,"Male","White",0,0,1,"Associates degree or equivalent (2 year degree)","High school diploma","Mechanical Engineering","Chemical Engineering","Chemical Engineering","Chemical Engineering",2.35,3.54,NA,2.73
298,20,"Male","Black/African American",0,0,1,"High school diploma","High school diploma","Biomedical Engineering","Computer Science","Computer Science",NA,2.3,NA,2.61,3.63
299,22,"Female","White",0,0,1,"Associates degree or equivalent (2 year degree)","Master's degree","Computer Science","Chemical Engineering","Chemical Engineering","Chemical Engineering",3.45,3.8,3.04,NA
300,19,"Male","White",0,0,0,"High school diploma","Bachelor's degree (4 year degree)","Computer Science",NA,"Computer Science","Computer Science",3.56,3.91,3.6,3.39
301,19,"Male","Native American",0,0,1,"Associates degree or equivalent (2 year degree)","Bachelor's degree (4 year degree)","Computer Science","Mechanical Engineering",NA,"Mechanical Engineering",3.89,3.47,NA,2.53
302,18,"Male","White",0,0,1,"High school diploma","No school","Chemical Engineering","Chemical Engineering","Chemical Engineering","Chemical Engineering",3.77,3.46,3.97,2.74
303,19,"Male","Other",0,0,1,"Associates degree or equivalent (2 year degree)","Bachelor's degree (4 year degree)","Chemical Engineering","Computer Science","Computer Science",NA,3.67,2.32,2.93,3.81
304,18,"Male","White",0,0,1,"Doctorate or professional degree","High school diploma","Chemical Engineering","Chemical Engineering","Chemical Engineering","Chemical Engineering",2.04,2.01,3.84,2.5
305,19,"Male","White",1,0,1,"High school diploma","Doctorate or professional degree","Mechanical Engineering","Mechanical Engineering",NA,"Computer Science",3.3,3.92,3.15,NA
306,20,"Female","Asian/Pacific Islander",0,0,1,"High school diploma","Bachelor's degree (4 year degree)","Mechanical Engineering","Chemical Engineering",NA,"Chemical Engineering",3.32,2.27,3.41,3.06
307,18,"Male","Asian/Pacific Islander",1,0,0,"Master's degree","High school diploma","Biology","Computer Science","Computer Science","Computer Science",2.51,2.05,3.42,NA
308,20,"Male","White",1,0,1,"Bachelor's degree (4 year degree)","Associates degree or equivalent (2 year degree)","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",3.89,3.39,2.14,3.15
309,18,"Female","White",1,0,1,"Master's degree","High school diploma","Computer Science","Computer Science","Computer Science","Computer Science",2.12,3.69,3.29,2.05
310,20,"Female","White",0,0,1,"Bachelor's degree (4 year degree)","Bachelor's degree (4 year degree)","Computer Science","Mechanical Engineering",NA,"Computer Science",3.7,3.57,2.08,2.07
311,19,"Male","Black/African American",0,0,1,"Bachelor's degree (4 year degree)","Associates degree or equivalent (2 year degree)","Chemical Engineering","Chemical Engineering",NA,"Chemical Engineering",2.63,3.14,2.66,3.68
312,19,"Female","White",0,0,1,"Associates degree or equivalent (2 year degree)","High school diploma","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",2.34,2.38,4,3.95
313,18,"Male","White",0,0,1,"Bachelor's degree (4 year degree)","Associates degree or equivalent (2 year degree)","Computer Science","Biomedical Engineering","Biomedical Engineering","Biomedical Engineering",2.9,3.1,2.17,2.34
314,18,"Male","White",0,0,1,"Associates degree or equivalent (2 year degree)","Bachelor's degree (4 year degree)","Computer Science","Computer Science","Computer Science","Computer Science",3.56,3.68,2.11,3.84
315,19,"Female","White",1,0,1,"Bachelor's degree (4 year degree)","Associates degree or equivalent (2 year degree)","Computer Science","Computer Science","Computer Science","Computer Science",2.44,3.91,3.45,3.46
316,18,"Female","White",0,0,1,"High school diploma","High school diploma","Biology","Biology","Biology",NA,3.69,2.35,3.89,3.72
317,19,"Female","White",0,0,1,"Master's degree","Bachelor's degree (4 year degree)","Biology","Biology","Biology","Biology",2.5,2.27,NA,3.39
318,19,"Male","White",0,0,1,"Bachelor's degree (4 year degree)","Bachelor's degree (4 year degree)","Computer Science","Computer Science","Computer Science","Biomedical Engineering",2.99,3.09,3.62,3.13
319,18,"Male","Black/African American",1,0,1,"Master's degree","High school diploma","Chemical Engineering","Chemical Engineering","Chemical Engineering","Chemical Engineering",3.27,3.78,3.56,3.83
320,19,"Female","Other",1,0,1,"Associates degree or equivalent (2 year degree)","Associates degree or equivalent (2 year degree)","Biology","Biology","Biology","Biology",3.91,2.69,NA,2.44
321,18,"Male","Asian/Pacific Islander",0,0,1,"No school","High school diploma","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",NA,3.92,2.03,3.17,3.42
322,19,"Female","White",0,0,1,"High school diploma","Doctorate or professional degree","Biomedical Engineering","Biomedical Engineering","Mechanical Engineering","Mechanical Engineering",2.06,NA,3.99,2.85
323,20,"Male","White",1,0,1,"High school diploma","Elementary school","Biology","Biology","Mechanical Engineering","Mechanical Engineering",2.41,3.97,2.39,2.41
324,19,"Male","Asian/Pacific Islander",0,0,1,"High school diploma","Master's degree","Computer Science","Computer Science","Computer Science","Computer Science",3.44,2.54,2.59,3.53
325,19,"Male","White",1,0,1,"Associates degree or equivalent (2 year degree)","Bachelor's degree (4 year degree)","Biology","Biology","Biology","Biology",2.94,3.48,3.62,2.41
326,19,"Male","White",0,0,1,"Some high school","Master's degree","Chemical Engineering","Chemical Engineering","Chemical Engineering","Chemical Engineering",NA,3.57,2.29,NA
327,19,"Male","White",1,0,1,"Associates degree or equivalent (2 year degree)","High school diploma",NA,"Chemical Engineering","Chemical Engineering","Chemical Engineering",NA,3.93,3.39,3.45
328,22,"Female","Black/African American",0,0,1,"Elementary school","Bachelor's degree (4 year degree)","Biomedical Engineering","Computer Science","Computer Science",NA,2.28,3.34,2.31,2.35
329,18,"Male","White",0,0,1,"Associates degree or equivalent (2 year degree)","Associates degree or equivalent (2 year degree)","Computer Science","Computer Science","Computer Science","Computer Science",3.61,2.2,3.76,2.68
330,20,"Male","White",0,0,1,"Bachelor's degree (4 year degree)","Bachelor's degree (4 year degree)","Biology","Chemical Engineering",NA,"Chemical Engineering",2.32,2.94,3.68,2.64
331,18,"Male","Multiracial",1,0,1,"Associates degree or equivalent (2 year degree)","Master's degree","Mechanical Engineering","Chemical Engineering","Chemical Engineering","Chemical Engineering",2.2,3.34,2.5,3.75
332,18,"Male","White",0,0,1,"Doctorate or professional degree","High school diploma","Computer Science","Computer Science","Computer Science",NA,2.28,3.57,2.78,2.55
333,20,"Male","White",0,0,1,"Bachelor's degree (4 year degree)","High school diploma","Biomedical Engineering","Chemical Engineering","Chemical Engineering","Chemical Engineering",2.08,2.5,3.53,3
334,18,"Male","White",0,0,1,"High school diploma","Master's degree","Computer Science","Computer Science","Biomedical Engineering","Biomedical Engineering",3.54,2.45,3.23,NA
335,20,"Nonbinary","White",1,0,1,"Master's degree","High school diploma","Biology","Biology","Biology","Biology",3.84,NA,2.35,NA
336,18,"Male","Asian/Pacific Islander",1,0,1,"High school diploma","Associates degree or equivalent (2 year degree)","Mechanical Engineering",NA,"Chemical Engineering","Chemical Engineering",2.16,3.68,2.38,NA
337,20,"Male","White",0,0,1,"Associates degree or equivalent (2 year degree)","Associates degree or equivalent (2 year degree)",NA,"Computer Science",NA,"Biomedical Engineering",3.44,NA,3.63,3.14
338,18,"Female","Multiracial",1,0,1,"Master's degree","Bachelor's degree (4 year degree)","Computer Science","Computer Science","Chemical Engineering","Chemical Engineering",2.66,2.41,NA,2.27
339,19,"Female","Black/African American",0,0,1,"High school diploma","High school diploma","Biomedical Engineering","Biomedical Engineering","Biomedical Engineering",NA,2.24,2.58,3.71,2.69
340,20,"Male","Other",0,0,1,"Master's degree","High school diploma","Biology","Chemical Engineering","Biology","Biology",2.25,2.3,2.37,2.28
341,19,"Male","Black/African American",0,0,1,"Some high school","Master's degree","Chemical Engineering","Biology",NA,"Biology",3.8,2.57,3.04,3.37
342,18,"Male","White",0,0,1,"Some high school","Bachelor's degree (4 year degree)","Computer Science","Chemical Engineering","Chemical Engineering","Computer Science",2.37,3,NA,2.57
343,18,"Female","Asian/Pacific Islander",0,0,1,"High school diploma","High school diploma","Biology","Biology","Biology","Biology",2.35,2.47,2.1,2.87
344,18,"Female","Asian/Pacific Islander",1,0,1,"Some high school","High school diploma","Mechanical Engineering","Chemical Engineering","Chemical Engineering","Chemical Engineering",3.33,2.21,2.71,3.61
345,18,"Female","Multiracial",0,0,1,"High school diploma","Bachelor's degree (4 year degree)","Computer Science","Computer Science",NA,"Computer Science",3.47,2.09,2.04,2.57
346,18,"Male","White",0,1,1,"Bachelor's degree (4 year degree)","Doctorate or professional degree","Computer Science","Computer Science","Computer Science","Computer Science",2.68,NA,3.64,2.89
347,19,"Female","White",0,0,1,"Doctorate or professional degree","Middle school/Junior high","Biomedical Engineering",NA,NA,NA,3.24,2.45,3.28,3.44
348,18,"Male","White",0,0,1,"Bachelor's degree (4 year degree)","Bachelor's degree (4 year degree)","Biomedical Engineering","Biology","Biology","Biology",3.65,2.27,2.01,3.78
349,19,"Female","Black/African American",0,0,1,"Bachelor's degree (4 year degree)","Some high school","Mechanical Engineering","Mechanical Engineering","Biomedical Engineering","Biomedical Engineering",3.69,2.75,NA,2.85
350,22,"Female","White",1,0,1,"Associates degree or equivalent (2 year degree)","Associates degree or equivalent (2 year degree)","Biology","Biomedical Engineering","Biomedical Engineering","Biomedical Engineering",2.34,3.27,2.19,3.31
351,19,"Male","Multiracial",0,0,1,"Middle school/Junior high","High school diploma","Chemical Engineering","Chemical Engineering","Chemical Engineering","Chemical Engineering",2.17,2.18,3.39,3.1
352,18,"Male","Black/African American",1,0,1,"Associates degree or equivalent (2 year degree)","High school diploma","Computer Science","Biomedical Engineering","Biomedical Engineering","Biomedical Engineering",NA,NA,3.81,3.73
353,18,"Male","Black/African American",0,0,1,"Associates degree or equivalent (2 year degree)","Master's degree",NA,"Biology","Biology","Biology",2.41,NA,3.43,3.37
354,18,"Male","White",0,0,1,"High school diploma","Some high school","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",NA,3.41,3.84,2.09,3.13
355,20,"Female","White",0,0,1,"Master's degree","High school diploma","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering","Computer Science",2.06,NA,3.11,3.27
356,19,"Female","White",0,0,1,"Doctorate or professional degree","Middle school/Junior high","Computer Science","Chemical Engineering",NA,NA,NA,3.7,2.05,NA
357,20,"Male","Hispanic/Latine",0,0,1,"Bachelor's degree (4 year degree)","Associates degree or equivalent (2 year degree)","Biology","Biology","Chemical Engineering","Chemical Engineering",2.22,3.56,2.56,2.79
358,19,"Female","Multiracial",0,0,1,"High school diploma","High school diploma","Mechanical Engineering",NA,"Biology","Biology",NA,3.38,2.86,NA
359,20,"Male","Other",0,0,1,"Bachelor's degree (4 year degree)","Bachelor's degree (4 year degree)","Biomedical Engineering","Biomedical Engineering","Mechanical Engineering","Mechanical Engineering",2.27,2.36,2.74,2.34
360,19,"Male","White",0,0,1,"Associates degree or equivalent (2 year degree)","Bachelor's degree (4 year degree)","Mechanical Engineering","Mechanical Engineering",NA,NA,2.11,3.32,3.84,NA
361,19,"Female","White",0,0,1,"Associates degree or equivalent (2 year degree)","Some high school","Computer Science",NA,"Chemical Engineering","Chemical Engineering",2.89,3.02,3.36,3.88
362,19,"Male","White",0,0,1,"High school diploma","Associates degree or equivalent (2 year degree)","Chemical Engineering","Chemical Engineering","Chemical Engineering","Chemical Engineering",3.24,3.1,2.26,3.33
363,18,"Female","White",0,0,1,"High school diploma","Master's degree","Computer Science","Computer Science",NA,"Computer Science",2.47,3.37,2.61,3.48
364,18,"Male","White",0,0,1,"Associates degree or equivalent (2 year degree)","Bachelor's degree (4 year degree)","Biology",NA,"Biomedical Engineering","Biomedical Engineering",2.68,3.83,3.27,3.93
365,19,"Female","White",0,0,1,"Bachelor's degree (4 year degree)","High school diploma","Mechanical Engineering","Biology","Biology","Biology",3.38,3.01,2.9,NA
366,18,"Female","Black/African American",0,0,1,"Associates degree or equivalent (2 year degree)","Associates degree or equivalent (2 year degree)","Biomedical Engineering","Biomedical Engineering","Biomedical Engineering","Biomedical Engineering",2.91,2.43,2.99,3.97
367,22,"Male","Asian/Pacific Islander",0,0,1,"Associates degree or equivalent (2 year degree)","Bachelor's degree (4 year degree)","Chemical Engineering","Biomedical Engineering","Biomedical Engineering","Biomedical Engineering",3.78,2.13,2.7,3.79
368,18,"Male","White",0,0,1,"Associates degree or equivalent (2 year degree)","High school diploma","Chemical Engineering","Biomedical Engineering","Mechanical Engineering","Mechanical Engineering",2.31,2.96,2.89,3.87
369,21,"Male","Multiracial",0,0,1,"High school diploma","Some high school",NA,"Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",2.15,2.49,3.87,NA
370,18,"Male","White",0,0,1,"Bachelor's degree (4 year degree)","High school diploma","Computer Science","Chemical Engineering",NA,NA,2.39,3.63,2.14,2.05
371,18,"Male","Multiracial",1,0,1,"Bachelor's degree (4 year degree)","Associates degree or equivalent (2 year degree)","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",3.16,2.59,2.54,NA
372,18,"Female","Black/African American",0,0,1,"High school diploma","Associates degree or equivalent (2 year degree)","Computer Science","Computer Science","Computer Science","Computer Science",2.81,3.24,2.34,3.68
373,19,"Male","White",0,0,1,"Bachelor's degree (4 year degree)","Some high school","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",NA,3.97,2.06,3.7,2.57
374,20,"Male","Black/African American",1,0,1,"Master's degree","Associates degree or equivalent (2 year degree)","Computer Science","Computer Science","Computer Science","Computer Science",3.5,3.02,NA,3.53
375,18,"Male","White",0,0,1,"Associates degree or equivalent (2 year degree)","High school diploma","Biology","Chemical Engineering",NA,NA,3.5,2.35,3.03,3.81
376,18,"Male","White",0,0,1,"Associates degree or equivalent (2 year degree)","High school diploma","Chemical Engineering","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",3.61,2.77,NA,2.84
377,22,"Female","Asian/Pacific Islander",0,0,1,"Bachelor's degree (4 year degree)","Bachelor's degree (4 year degree)","Biology","Biology","Biology","Biology",3.05,3.95,2.99,NA
378,18,"Male","Asian/Pacific Islander",1,0,1,"High school diploma","Master's degree","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",2.67,3.37,3.26,2.05
379,18,"Female","White",0,0,0,"Bachelor's degree (4 year degree)","Master's degree","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",3.23,2.26,2.91,3.66
380,18,"Male","Black/African American",0,0,1,"Associates degree or equivalent (2 year degree)","No school","Chemical Engineering","Chemical Engineering","Chemical Engineering","Chemical Engineering",3.2,2.51,NA,2.85
381,19,"Male","White",0,1,1,"Associates degree or equivalent (2 year degree)","High school diploma","Biology","Biology","Biology","Biology",2.52,NA,3.43,3.25
382,21,"Female","White",0,0,1,"Associates degree or equivalent (2 year degree)","Associates degree or equivalent (2 year degree)","Chemical Engineering","Chemical Engineering","Chemical Engineering","Chemical Engineering",2.76,2.34,2.39,3.92
383,19,"Male","White",0,0,1,"Associates degree or equivalent (2 year degree)","Bachelor's degree (4 year degree)","Computer Science","Computer Science","Computer Science","Computer Science",2.09,NA,3.3,2.27
384,18,"Male","White",0,0,1,"Doctorate or professional degree","Bachelor's degree (4 year degree)","Computer Science","Computer Science","Computer Science","Computer Science",2.97,2.44,2.2,3.9
385,18,"Male","White",1,0,1,"High school diploma","Associates degree or equivalent (2 year degree)","Chemical Engineering",NA,NA,NA,2.69,3.86,2.13,2.2
386,18,"Male","White",0,1,1,"Bachelor's degree (4 year degree)","Bachelor's degree (4 year degree)","Computer Science","Computer Science","Computer Science","Computer Science",2.46,2.44,3.21,3.4
387,18,"Female","Black/African American",1,0,1,"Associates degree or equivalent (2 year degree)","Associates degree or equivalent (2 year degree)","Biology",NA,"Biology","Biology",2.66,3.33,3.89,2.18
388,18,"Male","White",0,0,1,"Associates degree or equivalent (2 year degree)","Some high school","Mechanical Engineering","Computer Science","Computer Science","Biomedical Engineering",3.11,2.4,3.82,3.71
389,19,"Male","Other",0,0,1,"Bachelor's degree (4 year degree)","High school diploma","Computer Science","Chemical Engineering","Chemical Engineering","Chemical Engineering",2.32,3.37,NA,3.69
390,18,"Nonbinary","Black/African American",1,1,1,"High school diploma","Bachelor's degree (4 year degree)","Chemical Engineering","Biology","Chemical Engineering","Chemical Engineering",3.74,3.95,3.8,3.64
391,19,"Male","Asian/Pacific Islander",0,0,1,"High school diploma","Bachelor's degree (4 year degree)","Biology","Biology",NA,"Chemical Engineering",2.56,3.76,3.87,3.36
392,19,"Male","White",0,0,1,"Master's degree","High school diploma","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",3.24,3.51,2.45,3.42
393,19,"Male","White",1,0,1,"High school diploma","Master's degree","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",2.62,3.1,3.9,NA
394,19,"Male","White",0,0,1,"Master's degree","Bachelor's degree (4 year degree)","Mechanical Engineering","Biology","Chemical Engineering","Biomedical Engineering",3.86,2.41,3.75,2.98
395,22,"Male","Black/African American",0,0,1,"High school diploma","Doctorate or professional degree","Mechanical Engineering","Mechanical Engineering","Biology",NA,3.29,3.97,2.94,2.58
396,18,"Female","White",1,0,1,"Bachelor's degree (4 year degree)","Some high school","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",2.32,2.93,3.5,3.51
397,19,"Male","Other",1,0,1,"Bachelor's degree (4 year degree)","Bachelor's degree (4 year degree)","Biology","Biology","Biology","Biology",NA,2.49,2.13,3.72
398,18,"Male","Asian/Pacific Islander",0,0,1,"High school diploma","Bachelor's degree (4 year degree)","Chemical Engineering","Biology","Biology","Biology",2.26,3.18,3.36,2.66
399,18,"Male","White",0,0,1,"Master's degree","Associates degree or equivalent (2 year degree)",NA,"Computer Science","Computer Science","Computer Science",3.55,2.46,2.69,3.95
400,18,"Nonbinary","White",0,0,0,"Master's degree","High school diploma","Biology","Mechanical Engineering","Biology","Biology",3.43,2.86,2.75,2.05
401,18,"Male","White",1,0,1,"Bachelor's degree (4 year degree)","Bachelor's degree (4 year degree)","Computer Science","Computer Science","Computer Science","Computer Science",3.95,3.77,3.21,2.43
402,19,"Male","White",0,1,0,"Associates degree or equivalent (2 year degree)","Associates degree or equivalent (2 year degree)","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",2.45,2.09,2.39,NA
403,18,"Female","White",1,0,1,"Master's degree","High school diploma","Chemical Engineering","Chemical Engineering",NA,"Chemical Engineering",3.8,2.84,NA,3.81
404,20,"Male","White",0,0,1,"High school diploma","Some high school","Computer Science","Computer Science","Computer Science","Computer Science",2.26,3.86,2.41,3.25
405,19,"Male","White",0,0,1,"High school diploma","High school diploma","Computer Science","Computer Science","Computer Science","Computer Science",3.63,3.55,3.76,NA
406,18,"Female","Hispanic/Latine",0,0,1,"High school diploma","Associates degree or equivalent (2 year degree)","Computer Science","Biomedical Engineering",NA,"Computer Science",3.91,3.96,2.79,2.36
407,21,"Nonbinary","White",1,0,1,"High school diploma","High school diploma","Computer Science","Computer Science","Computer Science","Computer Science",3.1,2.98,3.84,3.45
408,18,"Female","White",1,0,1,"High school diploma","High school diploma","Chemical Engineering","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",2.83,2.1,3.49,3
409,18,"Female","Black/African American",0,0,1,"Doctorate or professional degree","High school diploma","Biology","Chemical Engineering","Biology","Biology",2.67,2.52,3.04,2.36
410,20,"Male","White",0,0,1,"No school","No school","Biology","Biology","Biology","Biology",3.44,2.55,2.97,2.26
411,18,"Female","Multiracial",0,0,1,"High school diploma","Associates degree or equivalent (2 year degree)","Biomedical Engineering","Biomedical Engineering","Biomedical Engineering","Biomedical Engineering",3.74,2.32,2.06,NA
412,18,"Female","White",1,0,1,"Associates degree or equivalent (2 year degree)","Master's degree","Computer Science","Computer Science","Computer Science","Computer Science",2.52,2.63,2.62,2.65
413,18,"Female","Black/African American",0,0,1,"High school diploma","Bachelor's degree (4 year degree)","Computer Science","Computer Science","Computer Science",NA,2.44,2.05,3.82,2.66
414,19,"Nonbinary","Asian/Pacific Islander",0,0,1,"Doctorate or professional degree","High school diploma","Computer Science","Computer Science",NA,"Biomedical Engineering",3.8,3.48,2.4,3.48
415,18,"Female","White",0,1,1,"Some high school","Associates degree or equivalent (2 year degree)","Biomedical Engineering","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",2.2,3.49,2.11,2.49
416,20,"Female","Asian/Pacific Islander",0,1,1,"Master's degree","Bachelor's degree (4 year degree)","Mechanical Engineering","Mechanical Engineering","Computer Science","Computer Science",3.24,3.29,2.88,2.37
417,18,"Male","White",0,0,1,"Master's degree","Bachelor's degree (4 year degree)","Computer Science","Computer Science","Computer Science","Computer Science",3.15,NA,3.42,2.85
418,19,"Male","Black/African American",0,0,1,"Bachelor's degree (4 year degree)","Master's degree","Biomedical Engineering","Biomedical Engineering",NA,"Biomedical Engineering",3.09,3.05,2.11,2.01
419,19,"Male","White",0,0,1,"Master's degree","Associates degree or equivalent (2 year degree)","Biomedical Engineering",NA,"Computer Science",NA,3.22,3.57,3.95,NA
420,18,"Female","White",1,1,1,"Associates degree or equivalent (2 year degree)","High school diploma","Mechanical Engineering","Chemical Engineering","Chemical Engineering",NA,2.06,3.08,2.73,NA
421,21,"Male","Other",0,1,1,"Doctorate or professional degree","Master's degree","Computer Science","Computer Science","Computer Science","Computer Science",3.78,2.69,NA,2.64
422,18,"Male","Black/African American",0,0,1,"High school diploma","High school diploma","Computer Science","Computer Science","Computer Science","Computer Science",2.4,NA,3.32,3.16
423,18,"Male","Asian/Pacific Islander",1,0,1,"Master's degree","Bachelor's degree (4 year degree)","Computer Science","Computer Science","Computer Science","Computer Science",3.23,2.07,2.68,2.21
424,20,"Female","White",1,0,0,"Bachelor's degree (4 year degree)","Associates degree or equivalent (2 year degree)","Computer Science","Computer Science","Computer Science","Computer Science",3.05,2.97,NA,2.73
425,18,"Male","White",0,0,1,"Associates degree or equivalent (2 year degree)","High school diploma","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering","Mechanical Engineering",2.56,2.54,NA,2.13
426,18,"Male","White",1,0,1,"High school diploma","Associates degree or equivalent (2 year degree)","Computer Science","Computer Science","Computer Science","Computer Science",NA,2.45,2.19,2.53
